Dispositivo;Grupo de dispositivo;Data de início;Duração da condução;Data de parada;Duração da parada;Origem;Destino;Tempo parado com motor ligado;Velocidade máxima;Horas do motor no início da viagem;Horas do motor no final da viagem
7031;AMBEV, Vehicle, Diesel;16/02/2026;00:00:30;16/02/2026;0,197894178;Estr. Mun. do Jaguari, 9876-10276 - Rio Abaixo, Jacareí - SP, Brasil - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;Estr. Mun. do Jaguari, 9876-10276 - Rio Abaixo, Jacareí - SP, Brasil - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;00:00:09;8;07:00:00;07:00:00
7031;AMBEV, Vehicle, Diesel;16/02/2026;00:12:55;16/02/2026;0,003657407;Estr. Mun. do Jaguari, 9876-10276 - Rio Abaixo, Jacareí - SP, Brasil - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;Estr. Mun. do Jaguari, 9876-10276 - Rio Abaixo, Jacareí - SP, Brasil - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;00:05:16;15;07:00:00;07:18:11
7031;AMBEV, Vehicle, Diesel;16/02/2026;00:03:43;16/02/2026;0,004351852;Estr. Mun. do Jaguari, 9876-10276 - Rio Abaixo, Jacareí - SP, Brasil - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;Estr. Mun. do Jaguari, 9876-10276 - Rio Abaixo, Jacareí - SP, Brasil - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;00:06:16;7;07:18:11;07:28:10
7031;AMBEV, Vehicle, Diesel;16/02/2026;00:00:11;16/02/2026;0,003449074;Estr. Mun. do Jaguari, 9876-10276 - Rio Abaixo, Jacareí - SP, Brasil - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;Estr. Mun. do Jaguari, 9876-10276 - Rio Abaixo, Jacareí - SP, Brasil - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;00:04:58;5;07:28:10;07:33:19
7031;AMBEV, Vehicle, Diesel;16/02/2026;00:06:14;16/02/2026;0,009773981;Estr. Mun. do Jaguari, 9876-10276 - Rio Abaixo, Jacareí - SP, Brasil - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;Estrada Sem Nome - Jacareí, SP, Brasil;00:00:00;22;07:33:19;07:36:00
7031;AMBEV, Vehicle, Diesel;16/02/2026;00:08:55;16/02/2026;0,0010525;Estrada Sem Nome - Jacareí, SP, Brasil;Estrada Sem Nome - Jacareí, SP, Brasil;00:00:49;14;07:36:00;07:48:00
7031;AMBEV, Vehicle, Diesel;16/02/2026;00:01:09;16/02/2026;0,014061157;Estrada Sem Nome - Jacareí, SP, Brasil;Estrada Sem Nome - Jacareí, SP, Brasil;00:08:54;2;07:48:00;08:00:00
7031;AMBEV, Vehicle, Diesel;16/02/2026;00:00:39;16/02/2026;0,0240439;Estrada Sem Nome - Jacareí, SP, Brasil;Estrada Sem Nome - Jacareí, SP, Brasil;00:26:31;10;08:00:00;08:24:00
7031;AMBEV, Vehicle, Diesel;16/02/2026;00:01:58;16/02/2026;0,147556574;Estrada Sem Nome - Jacareí, SP, Brasil;Estrada Sem Nome - Jacareí, SP, Brasil;00:13:20;11;08:24:00;08:42:00
7031;AMBEV, Vehicle, Diesel;16/02/2026;00:09:06;16/02/2026;0,003206019;Estrada Sem Nome - Jacareí, SP, Brasil;Estrada Sem Nome - Jacareí, SP, Brasil;00:03:13;16;08:42:00;08:50:56
7031;AMBEV, Vehicle, Diesel;16/02/2026;00:07:19;16/02/2026;0,006008507;Estrada Sem Nome - Jacareí, SP, Brasil;Estr. Mun. do Jaguari, 9876-10276 - Rio Abaixo, Jacareí - SP, Brasil - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;00:00:07;15;08:50:56;09:00:00
7031;AMBEV, Vehicle, Diesel;16/02/2026;00:02:51;16/02/2026;0,006689815;Estr. Mun. do Jaguari, 9876-10276 - Rio Abaixo, Jacareí - SP, Brasil - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;Estr. Mun. do Jaguari, 1285 - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;00:09:38;22;09:00:00;09:12:29
7031;AMBEV, Vehicle, Diesel;16/02/2026;00:05:29;16/02/2026;0,105100197;Estr. Mun. do Jaguari, 1285 - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;Estrada Sem Nome - Jacareí, SP, Brasil;00:15:34;22;09:12:29;09:36:00
7031;AMBEV, Vehicle, Diesel;16/02/2026;00:05:45;16/02/2026;0,00188522;Estrada Sem Nome - Jacareí, SP, Brasil;Estrada Sem Nome - Jacareí, SP, Brasil;00:02:42;6;09:36:00;09:44:28
7031;AMBEV, Vehicle, Diesel;16/02/2026;00:01:04;16/02/2026;0,009779236;Estrada Sem Nome - Jacareí, SP, Brasil;Estrada Sem Nome - Jacareí, SP, Brasil;00:00:14;1;09:44:28;09:42:00
7031;AMBEV, Vehicle, Diesel;16/02/2026;00:05:09;16/02/2026;0,049952095;Estrada Sem Nome - Jacareí, SP, Brasil;Estrada Sem Nome - Jacareí, SP, Brasil;00:05:34;2;09:42:00;09:52:40
7031;AMBEV, Vehicle, Diesel;17/02/2026;00:03:17;17/02/2026;0,006180556;Estrada Sem Nome - Jacareí, SP, Brasil;Estrada Sem Nome - Jacareí, SP, Brasil;00:08:54;0;09:52:40;10:04:51
7031;AMBEV, Vehicle, Diesel;17/02/2026;00:10:35;17/02/2026;0,003252315;Estrada Sem Nome - Jacareí, SP, Brasil;Estr. Mun. do Jaguari, 9876-10276 - Rio Abaixo, Jacareí - SP, Brasil - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;00:04:41;2;10:04:51;10:20:07
7031;AMBEV, Vehicle, Diesel;17/02/2026;00:17:20;17/02/2026;0,002996007;Estr. Mun. do Jaguari, 9876-10276 - Rio Abaixo, Jacareí - SP, Brasil - Rio Abaixo, Jacareí - SP, 12334-400, Brasil;Estrada Sem Nome - Jacareí, SP, Brasil;00:03:12;16;10:20:07;10:42:00
7031;AMBEV, Vehicle, Diesel;17/02/2026;00:16:24;17/02/2026;0,002233796;Estrada Sem Nome - Jacareí, SP, Brasil;Estrada Sem Nome - Jacareí, SP, Brasil;00:03:13;9;10:42:00;11:01:37
