Dispositivo;Grupo de dispositivo;Data;Data de extinção do defeito;Usuário que extinguiu o defeito;Descrição;Modo de falha;Fonte;Controlador;Código
UAV2H54;ROTA NO_CDD CEARA, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD CEARA, 80 km/h;46051,3976;0;0;**Unknown Diagnostic 4185;No sub type information;OBD with Source Address Information;OBD Powertrain;P1059
UAV2H54;ROTA NO_CDD CEARA, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD CEARA, 80 km/h;46051,40787;0;0;**Unknown Diagnostic 4185;No sub type information;OBD with Source Address Information;OBD Powertrain;P1059
UAV2H54;ROTA NO_CDD CEARA, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD CEARA, 80 km/h;46051,42358;0;0;**Unknown Diagnostic 4185;No sub type information;OBD with Source Address Information;OBD Powertrain;P1059
UAV2H54;ROTA NO_CDD CEARA, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD CEARA, 80 km/h;46051,42914;0;0;**Unknown Diagnostic 4185;No sub type information;OBD with Source Address Information;OBD Powertrain;P1059
UAV2H54;ROTA NO_CDD CEARA, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD CEARA, 80 km/h;46051,43496;0;0;**Unknown Diagnostic 4185;No sub type information;OBD with Source Address Information;OBD Powertrain;P1059
UAV2H54;ROTA NO_CDD CEARA, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD CEARA, 80 km/h;46051,44947;0;0;**Unknown Diagnostic 4185;No sub type information;OBD with Source Address Information;OBD Powertrain;P1059
UAV2H54;ROTA NO_CDD CEARA, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD CEARA, 80 km/h;46051,45424;0;0;**Unknown Diagnostic 4185;No sub type information;OBD with Source Address Information;OBD Powertrain;P1059
UAV2H54;ROTA NO_CDD CEARA, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD CEARA, 80 km/h;46051,46851;0;0;**Unknown Diagnostic 4185;No sub type information;OBD with Source Address Information;OBD Powertrain;P1059
UAV2H54;ROTA NO_CDD CEARA, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD CEARA, 80 km/h;46051,4724;0;0;**Unknown Diagnostic 4185;No sub type information;OBD with Source Address Information;OBD Powertrain;P1059
UAV2H54;ROTA NO_CDD CEARA, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD CEARA, 80 km/h;46051,49433;0;0;**Unknown Diagnostic 4185;No sub type information;OBD with Source Address Information;OBD Powertrain;P1059
UAV2H54;ROTA NO_CDD CEARA, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD CEARA, 80 km/h;46051,51627;0;0;**Unknown Diagnostic 4185;No sub type information;OBD with Source Address Information;OBD Powertrain;P1059
UAV2H54;ROTA NO_CDD CEARA, Vehicle, Diesel, CAMBIO MANUAL, RENAULT, COMBUSTÃO, REG_MACRO REGIÃO NO, VANS, TRS_FADEL, UNI_CDD CEARA, 80 km/h;46051,5328;0;0;**Unknown Diagnostic 4185;No sub type information;OBD with Source Address Information;OBD Powertrain;P1059
